"artists"                                                                          ,"explicit","genre"                               ,"lyric"                                                                                                                                     ,"musixmatch_rating","rank","title"
"BANDA LOS SEBASTIANES"                                                            ,0.0       ,""                                    ,"Nada me gano
Con desearte mala suerte
Como tampoco
Gano nada con quererte

Ya te invertí todo mi amor
Todos mis besos
Y nomás gané desprecios
Nunca pude complacerte

Ya estoy cansado
De aguantar tus malos ratos
De ser yo el malo
Y tú la que no quiebra un plato

Nomás me besas
Cuando algo te interesa
Luego, vuelve la tristeza
Y dormimos sin hablarnos
...


 "                                                                                                             ,37.0               ,107   ,"ME VOY A IR"
"CHAYIN RUBIO"                                                                     ,0.0       ,"Latin / Regional Mexicano"           ,"Eres la dosis correcta pa' este corazón que sufre por ti
Que puede morir, si no estás aquí
Eres tú quien me da vida, la que me ilumina
Me elevas al cielo, me das las razones para seguir

Sin ti
Yo no puedo seguir
Te necesito aquí
Porque, sin ti, yo me siento un poco vacío
Mi adicción
Te has vuelto mi adicción
La fuente de calor
...


 "                                                                                   ,23.0               ,108   ,"LA DOSIS PERFECTA"
"JARY FRANCO"                                                                      ,0.0       ,"Latin / Regional Mexicano"           ,"Jary Franco

Si quieres cámbiate toda la historia
Quédate con la victoria
Di que fui yo el que fallé

No importa
Si ahora quieres alejarte
Porque yo sé que más tarde
Seguro vas a volver

Primero dices que mis besos
Ya no te hacen falta
Y luego buscas mi atención
Ponte de acuerdo con tu corazón

Un día me amas
Y al otro día me odias
Un día me escribes
Pero al siguiente me ignoras

Niña decídete
Si estamos mal o bien
Porque con esto
Loco me vas a volver

Un día me amas
Y al otro día me odias
...


 "                                                                                                        ,11.0               ,109   ,"BIPOLAR"
"CALIBRE 50"                                                                       ,0.0       ,"Latin / Regional Mexicano"           ,"21 tenía Chalito
Le tocó la mala suerte
Cuentan que de muchachito
Le encantaba tronar cuetes
Que al poco tiempo no eran de juguete

La capital no dormía
Si andaba el plebe despierto
Fino chanate traía
De Arturo buen elemento
Salió igualito, igualito que el viejo

Al estilo de aquel hombre
...


 "                                                                                                       ,32.0               ,110   ,"CHALITO"
"LOS PLEBES DEL RANCHO DE ARIEL CAMACHO"                                           ,0.0       ,"Latin / Regional Mexicano"           ,"Según tus labios hoy necesitan
De aquellos besos que en el pasado te di
Y no me digas que ahora te asustas
Porque el karma anda rondando por ahí

¿Verdad que duele que te desprecien?
Pero es lo mismo que tú me hiciste a mí
Y en el recuento de tanto daño
¿Con qué argumento yo podría abogar por ti?

...


 "                                                                                                 ,24.0               ,111   ,"SEGUN TUS LABIOS"
"EDWIN LUNA Y LA TRAKALOSA DE MONTERREY"                                           ,0.0       ,"Latin / Regional Mexicano"           ,"Este panorama no me gusta nada
Algo escondes entre manos y no es nada bueno
De un tiempo a la fecha, ya nada es igual
Ojalá que mi sospecha no sea verdad
Pero todo está tan claro, algo anda mal

Ya no te despides besando mi boca
Siempre cargas prisa por quererte ir
Cuando alguien te llama te pones contenta
Tal parece que te esperan por ahí
No me queda duda de que es así

...


 "                                                                                                ,21.0               ,112   ,"SI YA NO ME QUIERES"
"LOS ROJOS"                                                                        ,0.0       ,"Latin / Regional Mexicano"           ,"¿Por qué te has empeñado tanto en decir que me odias?
Inventarles que no se quien y yo hicimos no sé qué cosas
¿Por qué tanto coraje? Y no simplemente ya lo aceptas
Ya tengo quien me ame y a ti eso de los celos no te queda.

Ni lo intentes
No hay santo que te ayude a que vuelva
Ni lo sueñes
Contigo no regreso ni, aunque Dios quiera

¡Rúmbale! Ve y ládrale a tu padre
¡Cállate! Ve y traga tu coraje
Mira ya no sé que hacer
¿Cómo demonios te lo explico?
Con peras y manzanas fue lo mismo

...


 "                                                                                  ,17.0               ,113   ,"RUMBALE"
"LUPILLO FT JENNI RIVERA"                                                          ,0.0       ,""                                    ,"Ay, ay ay, compadre
¡Cómo me hubiera gustado que estuvieras, carnala!
¡Salucita!

Ahora sí, yo estoy solo en el mundo
Solo, solo en el mundo vagando
No me importa si algún día me muero
Nada más que me entierren cantando

He pasado mi vida rodando
He pasado mi vida tomando
Te lo juro que de hoy en adelante
...


 "                                                                                           ,25.0               ,114   ,"QUE ME ENTIERREN CANTANDO"
"PESADO"                                                                           ,0.0       ,"Music"                               ,"Estaba tan seguro
Que mis manos no te iban a extrañar
De que mis ojos no querían volver a verte
De que la vida sin ti me daba igual

Todo iba tan perfecto
Acostumbrándome a estar sin tus caricias
Porque sentía que de ti me había olvidado
Y hoy que te encuentro ha sido todo lo contrario

...


 "                                                                                            ,26.0               ,115   ,"ME SIGUE CALANDO"
"PANCHO BARRAZA"                                                                   ,0.0       ,""                                    ,"¿Que me paso?
Solo voltea a mirar tus ojos nada mas
Quede impactado con tu forma de mirar
Quede echizado con tanta sensualidad
Al verte caminar
Casi muero cuando te acercaste a mi
Me enamoraste con solo sonreir
Gracias a ti, conoci lo bello del amor
En ese instante, todo mi mundo cambio
...


 "                                                                                                      ,20.0               ,116   ,"LA FUERZA DEL AMOR"
"LEANDRO RIOS"                                                                     ,0.0       ,"Latin"                               ,"Qué bien se ve con ese escote
Y su boquita pintada
Le hablo de usted para que él
No sospeche que anoche la tuteaba

Él se ve bien, hace el papel
De un hombre enamorado de una dama
Piensa que a él le da exclusiva
De sus gestos en la cama

No se preocupe
No la conozco
Porque lo nuestro secreto será
Si usted lo pide
Ni nombre tendrá

Finge muy bien
Mis respetos, señora
Le sale bien
Ser la fiel en la historia
Yo la comprendo
...


 "                                                                                                          ,17.0               ,117   ,"NI NOMBRE TENDRA"
"BANDA TIERRA SAGRADA, ALANN MORA"                                                 ,1.0       ,"Music"                               ,"Hice un recuento de todos esos recuerdos
Después de haberle dado un beso a quien está
Y que tal vez lo estaría
Si tú me hubieras querido un poco más

Y esto es Tierra Sagrada
Y su compa Alann Mora, viejo, eso, venga

No me fue posible olvidarte
Digamos que a duras penas, solo pude superarte
O lo intente
Más la verdad, sin ti la vida no me sabe

...


 "                                                                                              ,21.0               ,118   ,"EFECTO IRREVERSIBLE"
"GABRIEL VIVAL"                                                                    ,0.0       ,"Latin / Regional Mexicano"           ,"Pajarillo

El Cartel de Nuevo Leon

Maquillaje a granel usaba a diario
Y vendía su piel a precio caro,
De las ocho a las diez en una esquina
Era joven e infiel, era rosa y espina
Y se llamaba no sé, nunca lo supe,
Nunca le pregunte, nunca dispuse
De su tiempo en su piel era un mocoso
Y tan solo le miré de pozo en pozo

Y era un pajarillo de blancas alas,
De balcón en balcón, de plaza en plaza,
...


 "                                                                                                     ,7.0                ,119   ,"PAJARILLO"
"BANDA TIERRA SAGRADA"                                                             ,0.0       ,"Music"                               ,"Era poca cosa lo que me ofreciste
Es lo mismo si te quedas o te vas
Si teniéndote conmigo estas ausente
Si no estás serás muy fácil de olvidar

No la pienses, si quieres irte, vete
Que yo no me voy a morir
Es más, creo que va a ser mejor
Si dejas disponible una vacante para un nuevo amor

No me fue muy bien contigo
No fuiste lo que yo esperaba
De mí nada te parecía
Y todo te ponía de malas
...


 "                                                                                          ,23.0               ,120   ,"NO ME FUE MUY BIEN CONTIGO"
"LEANDRO RIOS, LOS NUEVOS FEDERALES"                                               ,0.0       ,"Music"                               ,"(Podrán pasar los años y siempre el mejor amor
Será el primero
Pero el verdadero amor es para siempre
Y de los recuerdos no se vive
Los Nuevos Federales)

Aunque te bese la boca
Aunque siga durmiendo en tu cama
No importa que diga cien veces que te ama
Seguro has notado, que todavía me extraña

Tú ya eres cosa del pasado
Te duele mirarla feliz a mi lado
Si vieras que conmigo tu recuerdo ha superado
Lo siento, mi amigo, este lugar está ocupado

Aunque le beses la boca y te duermas con ella
...


 "                                                                                             ,10.0               ,121   ,"AUNQUE LE BESES LA BOCA"
"CALIBRE 50"                                                                       ,0.0       ,"Latin / Regional Mexicano"           ,"Ahora entiendo cuando dicen
Que los tiempos de Dios son perfectos
A pesar que tuve tantas decepciones
Lo agradezco

Y hasta siento que debo pedirle
Perdón al destino
Lo maldije tantas veces
Pero ahora todo tiene sentido

Con razón, con razón
Mi alma siempre estuvo llena de dudas
Con razón no sentí nunca nada
Con ninguna

Con razón, con razón
Siempre les faltaba algo a los besos
...


 "                                                                                                       ,33.0               ,122   ,"MI SORPRESA FUISTE TU"
"BANDA MS, SNOOP DOGG"                                                             ,""        ,""                                    ,""                                                                                                                                          ,""                 ,123   ,"QUE MALDICION"
"LOS DE LA NORIA, CALIBRE 50"                                                      ,0.0       ,"Latin / Regional Mexicano"           ,"¿A las cuántas noches dejo de soñarte?
¿A qué santo se le reza pa' olvidarte?
No es normal y la verdad me estoy hartando
Y es que no es negocio el extrañarte tanto

¿Qué se toma cuando duele hasta la sombra?
Si alguien sabe, por favor, que me responda

¿A los cuántos ya no quiero que te metas en mi vida?
Uno entiende que la guerra la tiene más que perdida
¿Cuántas lágrimas se lloran pa' sacarte de mi mente?
¿Cuándo se supone que me va a caer el veinte?

...


 "                                                                                        ,29.0               ,124   ,"A LAS CUANTAS DECEPCIONES"
"LEANDRO RIOS, MORENITO DE FUEGO"                                                  ,0.0       ,"Music"                               ,"Hasta el momento hemos formado un buen lazo
Una amistad con sus respectivas riendas
Pero antes de dar el siguiente paso
Tengo que decir algo, espero no te ofendas

No quiero que seamos novios
Mejor seamos amigos
Amigos con derecho que se besan en la boca
Que viven sin compromiso

No quiero que seamos novios
Mejor seamos amigos
Amigos con derecho, seremos un secreto
Yo el tuyo y tú el mío

No quiero que seamos novios, mejor seamos amigos
Obviamente con derecho, disculpa casi lo olvido
No hagas caso a tus amigas, no estoy jugando contigo
Pero para que juntar corazones, mejor juntemos ombligos

...


 "                                                                                     ,19.0               ,125   ,"AMIGOS CON DERECHO"
"ALEJANDRO FERNANDEZ"                                                              ,0.0       ,""                                    ,"Yo también sé jugar
Y me hubiera divertido
Es mejor que llorar
Y sentirme malherido

Si me dolió tu adiós
Para qué voy a negarlo
Pero, fue lo mejor
Viví un infierno a tu lado

Llorar, llorar por ti fue lo peor que pude hacer
Tal vez, mi error más grande fue lo mucho que te amé
Y, hoy, te pido disculpas si un día dije que jamás
Podría olvidarte, que siempre te iba amar

...


 "                                                                                        ,24.0               ,126   ,"TE OLVIDE"
"BETO ZAPATA"                                                                      ,0.0       ,""                                    ,"Tengo canas en el pelo
Pero ganas en el alma
Y como el ave fénix
La ceniza del amor se me ha vuelto una llama

Los años en mi piel
Pueden ser un buen abrigo
Te cambio mi experiencia por el dulce de tus besos
Mis cuarenta y tus veintiuno

Tengo roto el corazón pero me queda la mitad
No creí enamorarme,
Mucho menos a mi edad
...


 "                                                                                          ,13.0               ,127   ,"40 Y 21"
"CHAYIN RUBIO, CRISTIAN JACOBO, NETO BERNAL, CHEYO CARRILLO"                       ,0.0       ,"Latin / Regional Mexicano"           ,"Hoy me pregunto, ¿Qué será de ti?
Te tuve cerca y ahora estás tan lejos
Pero prohibirme recordarlo nuestro
Es imposible, es imposible

No me perdono, sé que te perdí
Pero expiraron los remordimientos
Fui dictador en no dejarte ir
Debío haber sido mi primer decreto

(Cuatro años sin mirarte)
(Tres postales y un bolero)
Dos meses y ya me olvidaste
Ni siquiera me pensaste
Un 29 de febrero

(Andan diciendo por la calle)
(Que solo le eres fiel al viento)
El mismo que nunca hizo falta
Para levantar tu falda
Cada día de por medio

¿Cómo te atreves a volver? (Ohh oh)
A darle vida a lo que estaba muerto
La soledad me había tratado bien
Y no eres quien para exigir derecho

¿Cómo te atreves a volver? (Ohh oh)
Y a tus cenizas convertir en fuego
...


 "                                                                                                       ,18.0               ,128   ,"¿COMO TE ATREVES?"
"BETO ZAPATA"                                                                      ,0.0       ,""                                    ,"Yo no sé quién pierde cara
Aquí en está despedida
Mi camino es de subida
Pero el tuyo es hacia atrás

Sé de alguien que te habló
Y que te ofreció mil cosas
Te dijo cosas hermosas
Y unas rosas te mandó

Yo no te voy a detener
Ese fue un trato entre los dos
Si yo no te hacía feliz, dirías adiós
Si yo no te hacía feliz, dirías adiós

Pero te vas a arrepentir
...


 "                                                                                                       ,6.0                ,129   ,"PERO TE VAS A ARREPENTIR"
"LUPILLO RIVERA"                                                                   ,0.0       ,""                                    ,"Me queda claro que lo quieres
Pero piénsalo muy bien

De plano no te has dado cuentas
Que no es como tú crees
Que no es lo que tú ves

Tus besos no se los merece
Y no lo quieres entender
...


 "                                                                                                             ,19.0               ,130   ,"CUANDO ERAS MIA"
"EDWIN LUNA Y LA TRAKALOSA DE MONTERREY, ADAN CONTERO"                             ,0.0       ,"Music"                               ,"Entre mexicanos nos tiramos paro, oiga
Y entre todos
Jalamos
¿Apoco no?
Esto es Edwin Luna
¡Que Viva México!
Adán Contero

Siempre positivo
Yo así me la vivo
Con altas y bajas, con buenas y malas
Pero sigo en el camino

No me la complico
Yo sigo sonriendo
Vámonos derecho
Al toro siempre hay que agarrarlo por los cuernos

El que pega, paga y nadie se salva
Al final la que te cobra es la vida
Pone cuentas y muy caras
Justo así trabaja el karma

A la vida le aprendí
...


 "                                                                                           ,21.0               ,131   ,"A LA VIDA LE APRENDI"
"DUELO"                                                                            ,0.0       ,""                                    ,"Si volviste a mi
Es para cederme tu tiempo completo
Eres bienvenida con la condición
De quedarte sin miedos

Si volviste a mi
Es porque perdonas que no soy perfecto
Es inaceptable que no reconozcas
Que yo soy tu dueño

Si volviste a mi
...


 "                                                                                                      ,21.0               ,132   ,"SI VOLVISTE A MI"
"LOS CALIZ"                                                                        ,0.0       ,""                                    ,"Sigo donde mismo
Y no me deja en paz la duda si eras para mí
Parece que no te hago falta y ahora eres más feliz
Se nota que hice lo correcto al dejarte ir

Ya sé que no está bien seguir pensando en ti
Y que me hace mal saber que te perdí
Que ya no hay vuelta de hoja, y lo que más me enoja
Es que haga lo que haga por volver
A ti ya no te importa

...


 "                                                                                         ,14.0               ,133   ,"ME PROMETI"
"LOS ANGELES AZULES, BELINDA"                                                      ,0.0       ,""                                    ,"Uh, uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh, uh, uh

Uh, uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh, uh, uh

Te vi pasar con tu carita de ángel
Ojos de rubí, sonrisa bien brillante
Te seguí, lo sé, mi instinto me llevaba hacia ti

Llegué al bar, pedí un fuerte tequila
Para comenzar
Te vi con tus amigas, me acerqué
Con el pretexto de invitarte a bailar

La rola que sonaba incitaba a gozar
Cuerpo a cuerpo tú y yo, pegaditos los dos
Te dije, al oído: ""me gustas
Y quiero que vengas conmigo esta noche""

Y tomar, junto a ti, el café de las mañanas
Despertarte a besos, complaciéndote en mi cama
Y mirar tu cara, tu carita sonriente
Que sepa, la gente, que te quiero y que me quieres

...


 "                                                                                          ,78.0               ,134   ,"AMOR A PRIMERA VISTA"
"DIEGO HERRERA"                                                                    ,0.0       ,"Music"                               ,"Tal vez antes de mi te hizo dudar
Tal vez no supo valorar
Lo que tú siempre das

Recuerda que la calma llega tras la tempestad
Y si alguien te falló
Déjame que sea yo
Quien te devuelva la felicidad

Yo no quiero conquistar a más de mil
Lo que quiero es conquistarte
...


 "                                                                                               ,17.0               ,135   ,"MIL VECES"
"LOS PERDIDOS DE SINALOA"                                                          ,0.0       ,"Latin / Regional Mexicano"           ,"Sé como estás
Me he enterado que sufres y te arrepientes
Lo he notado todo irreal, no me sorprende
Ahora sigues el camino que mereces

Me dices que me quieres
Que ya no soportas más
Estar en esta amarga y triste soledad
No hay vuelta atrás
Tú así lo elegiste un día

Te vas, te marchas
...


 "                                                                                                  ,20.0               ,136   ,"ESTAS PERDIDA"
"PESADO"                                                                           ,0.0       ,"Latin / Regional Mexicano"           ,"No basta con decirme lo lamento
Las heridas no se curan con decir lo siento
El daño simplemente ya está hecho
Y para ser sincero no ya no te quiero

Y no es que sea un capricho o sea mi orgullo
Simplemente te olvidé, ya no me siento tuyo
Te fuiste aún sabiendo cuanto te adoraba
Me abandonaste, me olvidaste, me diste la espalda

Y hoy crees que tan solo con decir que estás arrepentida
Voy a ser parte nuevamente de tu vida
Que equivocada estás
Ya no te amo más
...


 "                                                                                    ,25.0               ,137   ,"ESTOY MEJOR SIN TI"
"BANDA EL RECODO"                                                                  ,0.0       ,""                                    ,"Hubiera preferido no besarte
Aquella noche que nos presentaron
Hubiera decidido no llamarte
Pero caí rendido a tus encantos
Hubiera sido inteligente
Para marcharme a tiempo
Y no pagar las consecuencias
Por quererte en serio

¿Por qué nomás jugaste a hacerme daño?
¿Por qué dejaste que me enamorara?
...


 "                                                                                                      ,26.0               ,138   ,"HUBIERA SIDO COMO TU"
"ALAN PINEDA"                                                                      ,0.0       ,"Music"                               ,"Estoy jugando con fuego
Pero me quiero quemar
Contigo vale la pena
Lo que pudiera pasar
Contigo voy a arriesgarme
Me gustas y que más da
Ya saboreo tu boca
Con la que voy a pecar
...


 "                                                                                                                   ,6.0                ,139   ,"HASTA QUE NOS AMANEZCA"
"KIKIN Y LOS ASTROS"                                                               ,0.0       ,"Latin"                               ,"Quisiera hablar de ti
Y que no salga agua salada de mis ojos
Que no tiemble mi voz cuando te nombre
Y no pensarte siempre que me encuentre solo

Quisiera hablar de ti
Que no se sienta estas cosas en mi pecho
Como cuchillos que me destrozan por dentro
Cuando recuerdo que en mis brazos no te tengo

Quisiera hablar de ti
Y decir que aún te beso cuando quiero
Que el amor entre tu y yo es tan perfecto
...


 "                                                                                               ,14.0               ,140   ,"QUISIERA HABLAR DE TI"
"ALFREDO OLIVAS"                                                                   ,0.0       ,"Latin / Regional Mexicano"           ,"Se llegó el momento
Ya ni escogí la madera
Hace mucho tiempo
Que estaba en lista de espera

Yo nunca me detuve
A organizar mi sepelio
¿Cuántos invitados?
¿Cuáles evangelios?

Y tan de repente
Se apagó la luz
Nuevo domicilio
Entre la tumba y la cruz

...


 "                                                                                                               ,21.0               ,141   ,"EL DIA DE LOS MUERTOS"
"CHIQUIS RIVERA"                                                                   ,0.0       ,"Latin / Regional Mexicano"           ,"Hoy me desperté romántica
Con ganas de decirte lo que siento
Que no te saco de mi pensamiento
Aunque, muy pocas veces lo demuestro

Tal vez, nunca te digo que te quiero
Pero, hoy te lo demostraré con hechos

Hoy me desperté de buenas
Yo creo que porque ayer soñé contigo
Soñé que me cantabas al oído
Y, con tus brazos, me cubrías del frío

Si acaso, no me crees lo que te digo
Tú, dime, dónde y a qué horas te miro

Anímate y verás
Cómo no te arrepientes
Aquí descubrirás
...


 "                                                                                                      ,14.0               ,142   ,"ANIMATE Y VERAS"
"ESPINOZA PAZ"                                                                     ,0.0       ,""                                    ,"Te levantas con el espejo en la mano
Y cuando menos lo espero, entras al baño
Levi's ajustado, el pelo planchado
Uñas largas, maquillaje en todos lados

Para llamar la atención una Louis Vuitton
Labios rojos, pupilentes de color
Cachetes rosados, con lentes ahumados
Y empeorando cada vez la situación

¿De qué sirve que luzcas así?
Si jamás te preocupas por mí
...


 "                                                                                                   ,20.0               ,143   ,"VANIDOSA"
"LEANDRO RIOS"                                                                     ,0.0       ,"Latin"                               ,"Señorita
Usted me gusta y dígame cómo le hacemos
Sé que usted es de ciudad y yo de pueblo
Aunque a algunos no les parezca, yo voy a hacer el intento

Señorita
Aunque levante la ceja y suene extraño
Tengo ganas de llevarla de la mano
Yo la quiero conquistar, yo la quiero enamorar

Señorita
Tengo ganas de besarle esa boquita
Ya se me está poniendo coloradita
Yo sé que la idea le agrada, su mirada no me engaña

...


 "                                                                                  ,15.0               ,144   ,"SEÑORITA"
"RAYMIX"                                                                           ,0.0       ,""                                    ,"Let's go

Llámame
Cuando tú quieras, llámame
Sabes que yo estaré pa' ti
Incondicional

Solo llámame
Entiendo que lo nuestro terminó
Pero quiero que sepas que tú y yo
Juramos protegernos los dos

No hay persona como tú en este mundo
Con quien me guste estar
En ti yo puedo confiar
Sabes que tú en mí, igual

Afortunado de que seas mi amiga
Afortunado de ir creciendo contigo
...


 "                                                                                                        ,32.0               ,145   ,"LLAMAME"
"LOS CARDENALES DE NUEVO LEON"                                                     ,""        ,""                                    ,""                                                                                                                                          ,""                 ,146   ,"PARTE DE MI HISTORIA"
"LOS ANGELES AZULES, JULIETA VENEGAS"                                              ,""        ,""                                    ,""                                                                                                                                          ,""                 ,147   ,"ACARIÑAME"
"ALEJANDRO FERNANDEZ, MON LAFERTE"                                                 ,0.0       ,""                                    ,"Desde que estoy a tu lado no sé concentrarme
Pierdo noción de las horas, no sé a dónde voy
Cuando me ven mis amigos, suelen preguntarme
Qué es lo que pasa conmigo, no saben quién soy

Ya les voy a contar
Que muero por verte, que grande es mi suerte
Que a estas alturas que tiene mi vida, llegué a conocerte

...


 "                                                                                   ,23.0               ,148   ,"QUE SE SEPA NUESTRO AMOR"
"ELSA RIOS"                                                                        ,""        ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,1.0                ,149   ,"DIVINA HASTA LA MUERTE"
"FIDEL RUEDA"                                                                      ,0.0       ,"Latin / Regional Mexicano"           ,"No te preocupes
Lo superaré
La he librado antes
Y más herido

No te preocupes
Que yo intentaré
Seguir vivo

Nada cambiará
La vida sigue igual
El sol amaneció en el mismo lugar
Solo la tristeza se hospedó en mi cara
...


 "                                                                                                      ,23.0               ,150   ,"TENGO GANAS"
"DIEGO HERRERA"                                                                    ,0.0       ,"Music"                               ,"En todos los sentidos, tú me encantas
Me quedo corto cuando digo que te amo
Quiero caminar contigo
No me sueltes de tu mano
Que la vida es más hermosa, desde que estás a mi lado

Quiero que tus labios siempre besen a mi boca
Y que tus ojitos no me dejen de extrañar
Tantas cosas buenas me transmite tu persona
Que con solo verte tú me haces feliz de más
...


 "                                                                                       ,17.0               ,151   ,"EN TODOS LOS SENTIDOS"
"KIKIN Y LOS ASTROS FT EDWIN LUNA, LOS PICADIENTES DE CABORCA"                     ,""        ,"Latin"                               ,""                                                                                                                                          ,14.0               ,152   ,"LA ORILLITA DEL MAR"
"ANA BARBARA"                                                                      ,0.0       ,"Latin / Regional Mexicano"           ,"Pensaste hacer las cosas bien
Dis'que para yo no cacharte
Pero que soy bien lista, eso no lo maliciaste
Al diablo con tus cuentos, esta vez sí la c- regaste

Qué gacha la vieja que agarraste y que le decían La Nacha
Lo peor, es que te trata como a una cucaracha
Sabrás lo que se siente cuando venga mi revancha

Quiero decirte que toda tu desgracia, tú mismo la decidiste
A mí ya no me ruegues que conmigo no la hiciste

Yo ni loca
Me quedo con un tipo que ni ganas me provoca
Y más si lo caché poniéndome el cuerno con otra
...


 "                                                                                 ,19.0               ,153   ,"QUE POCA"
"LUIS ANGEL EL FLACO"                                                              ,0.0       ,""                                    ,"Desperté muy asustado y tembloroso
Tuve un sueño que hasta escalofríos me dio
Era un viejo canoso y arrugado
Un reflejo en el espejo era yo

También vi una señora muy delgada
Muy bonita que vestía muy elegante
Se acerco me sonrió y me dijo hola
Estoy aquí porque se llegó tu hora

No fue un sueño sino una pesadilla
...


 "                                                                                                  ,18.0               ,154   ,"REFLEXION"
"CARDENALES DE NL FT LOS CARNALES DE NL"                                           ,""        ,""                                    ,""                                                                                                                                          ,1.0                ,155   ,"QUE NADIE SEPA"
"CUARTO DE MILLA"                                                                  ,0.0       ,""                                    ,"No eres para mí
Te vengo a terminar
Me gusta lo buen hecho y como tú
Te portas conmigo, no va

Cuando estás de buenas
Hay besitos sin pijama
Luego no te entiendo
Si andas de mal genio, me volteas la cara

Muy bonita y todo
Pero a mí los besos me gustan de buen modo
...


 "                                                                                                  ,14.0               ,156   ,"MUY BONITA Y TODO"
"LOS CARNALES DE NUEVO LEON"                                                       ,0.0       ,"Music"                               ,"Ya me cansé
De que me busques
Siempre que peleas con el
De ser tu eterno confidente
El que te vive al pendiente
De ser tu amigo fiel
Tan lejos de tu piel.
Ya me cansé
De que te acuerdes de que existo
Cuando no estás bien
Pues se que tu jamás has visto
Lo que hay en mi por eso insisto
Lo tienes que saber
Ya no voy a ceder.
...


 "                                                                                                            ,12.0               ,157   ,"PLAN B"
"ALEJANDRO FERNANDEZ"                                                              ,0.0       ,""                                    ,"Desde el día en que te miré
Ibas bien acompañada
Ibas con él de la mano
De repente te reías
De reojo me mirabas

No es mi gran amigo él
Pero claro, lo conozco
Y no suelo ser aquel
Que no le importa con quién
Trato de ser respetuoso

Ay, pero ven tantito
Es la única vez que te voy a contar mis secretos
Si no tuvieras compromiso
Te perdería el respeto
...


 "                                                                                            ,22.0               ,158   ,"CABALLERO"
"ANA BARBARA, CHRISTIAN NODAL"                                                     ,0.0       ,""                                    ,"Los días pasando y sigo pensando
Si aún sientes algo por mí
Me estoy consumiendo, te sigo esperando
Y tú ni pa cuando venir

Tal vez sea mejor que ya no estes aquí
Conmigo ya no eras feliz
Es claro que debo entrar en razón
¿Pero cómo le explico a mi corazón?

O me quedo callada o te grito en la cara
...


 "                                                                                                    ,34.0               ,159   ,"SOLOS"
"PEPE AGUILAR"                                                                     ,0.0       ,""                                    ,"Fue un placer conocerte
Y tenerte unos meses
Aunque esos meses fueron
El principio y el fin

De un amor tan bonito
Aunque no me quisiste
Pero yo sí te quise
Y hoy me tengo que ir

Muy feliz fui contigo
Me conforme con nada
Y hoy te quedas sin mí

Y a pesar de que nunca
Me dijiste te quiero
Hoy que tengo que irme
...


 "                                                                                                                    ,23.0               ,160   ,"FUE UN PLACER CONOCERTE"
"SAUL EL JAGUAR"                                                                   ,""        ,""                                    ,""                                                                                                                                          ,""                 ,161   ,"PELLIZCAME"
"LUCERO"                                                                           ,0.0       ,"Latin / Regional Mexicano"           ,"Es increíble
Que a pesar de tu mal comportamiento
Me pidas perdón
Ya saliste de mi vida
Si tal vez te arrepentiste, esto no tiene remedio
¡Así déjalo!

No sabía
Que tenías en promoción al dos por uno
A tu corazón
Que eras como un vaso de agua
Que no se le niega a nadie
Que desilusión tan grande me causó tu amor

Me juré
Que muy pronto iba a olvidarte
Me aferré y puse todo de mi parte
...


 "                                                                                           ,20.0               ,162   ,"ME DESHICE DE TU AMOR"
"LOS CARDENALES DE NUEVO LEON"                                                     ,0.0       ,""                                    ,"Que mi vida sin ti
Sería llorar en soledad, ya lo sabía
Que tus recuerdos ahí clavados como espinas
Harían perder hasta mis ganas de vivir

Que el tiempo por venir
Si había sol o no salía, daría lo mismo
Que sin tu amor iba a caer en un abismo
Que sin tu abrazo, nunca lograría salir

Pero me equivoqué
...


 "                                                                                                 ,24.0               ,163   ,"MI VIDA SIN TI"
"LOS PERDIDOS DE SINALOA"                                                          ,0.0       ,"Latin / Regional Mexicano"           ,"Si estás cansada de mí, date la vuelta yo te veo partir
Pero por favor, ya no me hagas más sufrir
El corazón te lo entregué y sin amor me lo regresas
Sin valor, dime que he sido yo para ti, no hay marcha atrás
No hay marcha atrás

El tiempo ha pasado y eso me sirvió a mí
Una señal del cielo me hizo entender que tú no eras la indicada
Que equivocado estaba

...


 "                                                                             ,21.0               ,164   ,"LO QUE YO SENTÍA"
"BANDA RENOVACION"                                                                 ,0.0       ,"Latin / Regional Mexicano"           ,"Tengo que aceptar
Que eres bonita
Que me gustas
Pero eres pobre
Y muy creída
Y no me aceptas
Así como soy

Ni que fueras la más buena
Para yo andarte rogando
Para yo andarte insistiendo,
Ni que estuvieras tan buena
Ni que fueras la única
...


 "                                                                                                                ,17.0               ,165   ,"NI QUE FUERAS LA MAS BUENA"
"FRANCISCO ELIZALDE"                                                               ,0.0       ,"Latin / Regional Mexicano"           ,"LAS CUATRO DE LA MAÑANA'
Las cuatro de la mañana y no he llegado a mi casa ya se han de estar
Acordando de mi madresita santa mi vieja
Estara endiablada pero eso ami no me espanta
Yo aqui bailando con viejas que ni conozco arriesgando aquella santa
Perro mañoso Que barbaridad yo echado y a lo
Peligroso quien lo va a negar te toco una chulada de esposo
...


 "                                                                        ,9.0                ,166   ,"LAS 4 DE LA MAÑANA"
